model,fold,pr_auc,roc_auc,brier,ks,n_train,base_rate
trivial,2014,0.08648,0.5,0.07918933032972063,0.0,39786,0.08648
logistic_woe,2014,0.12904992360779718,0.6269391006894153,0.07792447811866296,0.18335655458115918,39786,0.08648
logistic_raw,2014,0.12255618212020215,0.6177497249358572,0.07980474565181694,0.17133247539541474,39786,0.08648
lightgbm,2014,0.12623304566181276,0.6195320533421301,0.07903274386912873,0.17316437646038269,39786,0.08648
trivial,2015,0.10038,0.5,0.09070155652457705,0.0,93153,0.10038
logistic_woe,2015,0.1778970362738857,0.6706205919739268,0.0873467618022316,0.2504439644324555,93153,0.10038
logistic_raw,2015,0.17724147776277555,0.6679681437655027,0.08777944546726202,0.2482139621954303,93153,0.10038
lightgbm,2015,0.17679722530324354,0.6665092935411719,0.08782857229071431,0.24051256788198533,93153,0.10038
trivial,2016,0.10687,0.5,0.09622814337777778,0.0,150000,0.10687
logistic_woe,2016,0.187273062431137,0.6677491380716958,0.09307202261060078,0.23837667064470502,150000,0.10687
logistic_raw,2016,0.19177590684858697,0.6761366523620661,0.0929366028533298,0.2543902952304281,150000,0.10687
lightgbm,2016,0.19370237917745434,0.6766995289855028,0.09262402611348884,0.2563464507183537,150000,0.10687
trivial,2017,0.09585,0.5,0.08683360239999999,0.0,150000,0.09585
logistic_woe,2017,0.1679815612455348,0.6697084512436726,0.08429909294771733,0.24829900010993766,150000,0.09585
logistic_raw,2017,0.16201479185984224,0.6690192464694545,0.0851176741880623,0.24834504640703442,150000,0.09585
lightgbm,2017,0.16970247819582193,0.676440802973341,0.08422431678329086,0.25963148365513666,150000,0.09585
