model,calibrator,fold,cal_year,cal_brier,cal_ece,cal_mce,cal_slope,cal_mean_pred,cal_observed,cal_pr_auc,cal_roc_auc,brier,ece,mce,slope,mean_pred,observed,pr_auc,roc_auc
logistic_woe,none,2014,2011,0.06797170315190341,0.007229659359579676,0.01983525970440364,0.8553964099567593,0.07228804418424144,0.07554900787256572,0.14288162635341004,0.6706654491115368,0.07901710533137767,0.018191690614322083,0.05850431524986052,0.5325652766628137,0.08299740853013893,0.08648,0.11391616191421128,0.5928884043314698
logistic_woe,platt,2014,2011,0.06789542001336728,0.0036657598002040803,0.007247694564632534,1.0108634418704818,0.07545097159846459,0.07554900787256572,0.14288162635341004,0.6706654491115368,0.0787138226237112,0.012899253193604444,0.04550414109478898,0.6219909716605632,0.08548628918327075,0.08648,0.11391616191421128,0.5928884043314698
logistic_woe,isotonic,2014,2011,0.06761144569536325,1.086506146475897e-08,1.4786967418752017e-07,0.9985263974372235,0.07554901873762719,0.07554900787256572,0.14033270093346392,0.6745043136412303,0.07878714233876537,0.01315380573086174,0.034034586738081324,0.5782459734918213,0.08634222858370144,0.08648,0.11119270253211976,0.591719633619382
lightgbm,none,2014,2011,0.06890384085708637,0.0237790004913294,0.032626973169359724,0.5975500610822911,0.05829810578342948,0.07554900787256572,0.13712073294646573,0.6645306343183027,0.0809993558571442,0.03952492567011022,0.08631397610614641,0.32960677155007584,0.06421786955111908,0.08648,0.1121421578440409,0.590284054334277
lightgbm,platt,2014,2011,0.06807801647730524,0.004177534316408401,0.009046067226716789,0.9993994922809213,0.07555026262663929,0.07554900787256572,0.13712073294646573,0.6645306343183027,0.0789846530356741,0.017439142095019552,0.05139567423156091,0.5507122494552268,0.0806721538180786,0.08648,0.1121421578440409,0.590284054334277
lightgbm,isotonic,2014,2011,0.06789195578806902,7.918604124866422e-09,9.706546275425887e-08,0.9985170417208361,0.07554901579116984,0.07554900787256572,0.13453995641260968,0.6677638774578711,0.07894934942690295,0.018622500536701243,0.042735325560812165,0.5022689083157184,0.08088581764334657,0.08648,0.11044084196803788,0.590038112530368
logistic_woe,none,2015,2012,0.07705983437853256,0.00926910288527926,0.015529781384047897,0.8608437590980087,0.07698787793059392,0.08615811269136357,0.14442675886855189,0.6479014957652801,0.0890246357783873,0.019920899724299654,0.028610730566539275,0.7709011567505456,0.08045910027570034,0.10038,0.1526927688711124,0.6280563462453093
logistic_woe,platt,2015,2012,0.07694641780212436,0.0019988050955869635,0.005116124693173921,0.999633472030666,0.08616904616378139,0.08615811269136357,0.14442675886855189,0.6479014957652801,0.08871094342365743,0.010745527112301624,0.018187697246177206,0.901724680404816,0.0896344728876984,0.10038,0.1526927688711124,0.6280563462453093
logistic_woe,isotonic,2015,2012,0.07682332264384614,2.30479510267634e-09,2.5015634775443774e-08,1.000238846212776,0.08615811488372964,0.08615811269136357,0.14216338628288955,0.6496561191247968,0.08870195108967724,0.010650901953443995,0.01478049152782765,0.8678925310462255,0.08972909804655599,0.10038,0.1491923121602459,0.6273944846935195
lightgbm,none,2015,2012,0.0778068452944983,0.021215064169246692,0.03858346661945561,0.6270846171445961,0.07266017563617742,0.08615811269136357,0.13779475821070925,0.6411511303909027,0.09022102235639863,0.03363800455640577,0.04595217630122775,0.5092596224781096,0.07593243070383979,0.10038,0.1476982096449751,0.6219391556078807
lightgbm,platt,2015,2012,0.0771793146742954,0.004103810130878458,0.00894586287559146,1.00066055871258,0.08615495108855581,0.08615811269136357,0.13779475821070925,0.6411511303909027,0.08901172820260744,0.013989846381591047,0.019795749394555445,0.8122887709123232,0.0881418874621519,0.10038,0.1476982096449751,0.6219391556078807
lightgbm,isotonic,2015,2012,0.07704319863016165,4.365993981507981e-09,5.465253239203549e-08,1.0008358496112482,0.0861581170198812,0.08615811269136357,0.13625724005727397,0.6433166619590588,0.08910063277094764,0.012442231273182924,0.02103151704102381,0.6519579101000887,0.08793776872681708,0.10038,0.14430492201727502,0.62154855102333
logistic_woe,none,2016,2013,0.07039853093353067,0.010243093589646243,0.04874353777055046,0.8658235592492826,0.08817309358964626,0.07793,0.1367039314352435,0.6649976336097957,0.09309566023936411,0.019589425901458644,0.02621566695423594,0.8024514904879406,0.08728057409854134,0.10687,0.17756571606799543,0.6557260590730236
logistic_woe,platt,2016,2013,0.07007472481846191,0.0037908856583391435,0.009111036468589961,1.0006444327848487,0.07790774286065869,0.07793,0.1367039314352435,0.6649976336097957,0.09362161795008861,0.0297127642457845,0.04279434455708536,0.9267353088874468,0.0771572357542155,0.10687,0.17756571606799543,0.6557260590730236
logistic_woe,isotonic,2016,2013,0.0699732604923822,2.4600000074800555e-09,5.066170388583202e-08,0.9999222286090251,0.07793000243999999,0.07793,0.13464409497678084,0.6664128780557684,0.0936185356919921,0.029763688961439393,0.04582411780072551,0.8653275669986409,0.07710631103856061,0.10687,0.17311734833130787,0.6552217269238865
lightgbm,none,2016,2013,0.07017650802127971,0.0074444611709998405,0.03118269662261028,0.8132550173922503,0.0771655858281351,0.07793,0.1396111028334758,0.6704599179209684,0.09364502644592278,0.02769976044233176,0.03753287447076109,0.6997943158059791,0.08037449955035837,0.10687,0.17728927843889614,0.657469794925066
lightgbm,platt,2016,2013,0.06997089638818563,0.003575884399550687,0.005698341721740885,1.0003119921951935,0.07793277832538775,0.07793,0.1396111028334758,0.6704599179209684,0.09343884464655436,0.026597413312815822,0.0368673298162778,0.8610563459184701,0.08027258668718418,0.10687,0.17728927843889614,0.657469794925066
lightgbm,isotonic,2016,2013,0.06984391071729774,2.3900000046456554e-09,2.8209079055291353e-08,1.0005420992001886,0.07793000237,0.07793,0.13734282931831124,0.671597917651213,0.09337907127447903,0.02713033296023379,0.03534715414462124,0.8350450132270885,0.0797396670397662,0.10687,0.17315861055983947,0.657215431861188
logistic_woe,none,2017,2014,0.07665073726895141,0.00506741648475325,0.009106808372285238,0.9295870170190816,0.08282433858004137,0.08648,0.15541920043379548,0.6712847242278174,0.08463813711866261,0.02357972650114782,0.035708863425918586,0.903632063459748,0.07227027349885218,0.09585,0.16607528466784532,0.6668078876193415
logistic_woe,platt,2017,2014,0.07661956369982838,0.002338582786671168,0.004615561285994135,1.0002280249962656,0.08648136637340255,0.08648,0.15541920043379548,0.6712847242278174,0.08446448916154588,0.019646726309700387,0.032251008773553816,0.9710732894204677,0.07620327369029961,0.09585,0.16607528466784532,0.6668078876193415
logistic_woe,isotonic,2017,2014,0.07653140209419852,4.490000006442396e-09,5.080334917334506e-08,1.0002011815636174,0.08648000449,0.08648,0.15303103723451428,0.672414114530216,0.0844306512246015,0.0196451627500877,0.03308890873557417,0.8965455732974701,0.0762048372499123,0.09585,0.16283710512061061,0.6665624402587373
lightgbm,none,2017,2014,0.07649424517004218,0.0064040205623867195,0.012927953703355338,0.9059455939146698,0.08230196555271614,0.08648,0.15947295573507297,0.6799118060592327,0.08465674755599349,0.02225788105889422,0.036844421290423104,0.8320292702091414,0.07359211894110579,0.09585,0.16544576856225357,0.6718840034869641
lightgbm,platt,2017,2014,0.07642331315040024,0.003925479391975255,0.0069847781163883405,1.0006395513071809,0.08649619694707722,0.08648,0.15947295573507297,0.6799118060592327,0.08441031004152894,0.017935647344520626,0.033328089849493786,0.9186629982972951,0.07809274129888921,0.09585,0.16544576856225357,0.6718840034869641
lightgbm,isotonic,2017,2014,0.0762839692387735,2.6500000053000102e-09,2.8116710876213702e-08,1.0008648477328375,0.08648000265000003,0.08648,0.15781764476317364,0.6810344749455582,0.08429129293351485,0.018124586751633552,0.03425792986443932,0.8746498355283014,0.07772541324836646,0.09585,0.16293771558404108,0.6716235006430529
