fold,model,param,shift_pct,threshold,approve_rate,lgd_rate,margin_rate
2014,logistic_woe,lgd_rate,-0.3,0.22939827912404495,0.9904700520233876,0.4573497496287171,0.16460371578248525
2014,logistic_woe,lgd_rate,0.0,0.228354083593819,0.9901017448552093,0.6533567851838816,0.16460371578248525
2014,logistic_woe,lgd_rate,0.3,0.1736728155856618,0.9636296671423967,0.8493638207390461,0.16460371578248525
2014,logistic_woe,margin_rate,-0.3,0.16514379796105366,0.9552967174623637,0.6533567851838816,0.11522260104773967
2014,logistic_woe,margin_rate,0.0,0.228354083593819,0.9901017448552093,0.6533567851838816,0.16460371578248525
2014,logistic_woe,margin_rate,0.3,0.22939827912404495,0.9904700520233876,0.6533567851838816,0.21398483051723083
2014,lightgbm,lgd_rate,-0.3,0.2821388599589615,0.9973297730307076,0.4573497496287171,0.16460371578248525
2014,lightgbm,lgd_rate,0.0,0.22862527568516988,0.9913447815478109,0.6533567851838816,0.16460371578248525
2014,lightgbm,lgd_rate,0.3,0.17524718384465682,0.9693384282491598,0.8493638207390461,0.16460371578248525
2014,lightgbm,margin_rate,-0.3,0.16426388897368463,0.9598084802725473,0.6533567851838816,0.11522260104773967
2014,lightgbm,margin_rate,0.0,0.22862527568516988,0.9913447815478109,0.6533567851838816,0.16460371578248525
2014,lightgbm,margin_rate,0.3,0.2821388599589615,0.9973297730307076,0.6533567851838816,0.21398483051723083
2015,logistic_woe,lgd_rate,-0.3,0.29957392162360674,0.9988382333651882,0.4573497496287171,0.16460371578248525
2015,logistic_woe,lgd_rate,0.0,0.19951025636151545,0.9801188000074953,0.6533567851838816,0.16460371578248525
2015,logistic_woe,lgd_rate,0.3,0.1537102636274935,0.9255719826859296,0.8493638207390461,0.16460371578248525
2015,logistic_woe,margin_rate,-0.3,0.1537102636274935,0.9255719826859296,0.6533567851838816,0.11522260104773967
2015,logistic_woe,margin_rate,0.0,0.19951025636151545,0.9801188000074953,0.6533567851838816,0.16460371578248525
2015,logistic_woe,margin_rate,0.3,0.2779029184597867,0.9977888957595518,0.6533567851838816,0.21398483051723083
2015,lightgbm,lgd_rate,-0.3,0.24039224988225869,0.9953341952892236,0.4573497496287171,0.16460371578248525
2015,lightgbm,lgd_rate,0.0,0.24039224988225869,0.9953341952892236,0.6533567851838816,0.16460371578248525
2015,lightgbm,lgd_rate,0.3,0.1582213814552448,0.9411996177413008,0.8493638207390461,0.16460371578248525
2015,lightgbm,margin_rate,-0.3,0.1582213814552448,0.9411996177413008,0.6533567851838816,0.11522260104773967
2015,lightgbm,margin_rate,0.0,0.24039224988225869,0.9953341952892236,0.6533567851838816,0.16460371578248525
2015,lightgbm,margin_rate,0.3,0.24039224988225869,0.9953341952892236,0.6533567851838816,0.21398483051723083
2016,logistic_woe,lgd_rate,-0.3,0.28218102319765226,0.99845,0.4573497496287171,0.16460371578248525
2016,logistic_woe,lgd_rate,0.0,0.2368385834439065,0.99355,0.6533567851838816,0.16460371578248525
2016,logistic_woe,lgd_rate,0.3,0.15723946333989183,0.94315,0.8493638207390461,0.16460371578248525
2016,logistic_woe,margin_rate,-0.3,0.14124981916851448,0.91272,0.6533567851838816,0.11522260104773967
2016,logistic_woe,margin_rate,0.0,0.2368385834439065,0.99355,0.6533567851838816,0.16460371578248525
2016,logistic_woe,margin_rate,0.3,0.28218102319765226,0.99845,0.6533567851838816,0.21398483051723083
2016,lightgbm,lgd_rate,-0.3,0.34524908215529204,0.99937,0.4573497496287171,0.16460371578248525
2016,lightgbm,lgd_rate,0.0,0.21697500976560374,0.98589,0.6533567851838816,0.16460371578248525
2016,lightgbm,lgd_rate,0.3,0.14705714602850856,0.92187,0.8493638207390461,0.16460371578248525
2016,lightgbm,margin_rate,-0.3,0.1331617672777182,0.8896,0.6533567851838816,0.11522260104773967
2016,lightgbm,margin_rate,0.0,0.21697500976560374,0.98589,0.6533567851838816,0.16460371578248525
2016,lightgbm,margin_rate,0.3,0.34524908215529204,0.99937,0.6533567851838816,0.21398483051723083
2017,logistic_woe,lgd_rate,-0.3,0.283426296311982,0.99711,0.4573497496287171,0.16460371578248525
2017,logistic_woe,lgd_rate,0.0,0.19683902921706528,0.9649,0.6533567851838816,0.16460371578248525
2017,logistic_woe,lgd_rate,0.3,0.15257100016789843,0.89654,0.8493638207390461,0.16460371578248525
2017,logistic_woe,margin_rate,-0.3,0.1492567756972693,0.88797,0.6533567851838816,0.11522260104773967
2017,logistic_woe,margin_rate,0.0,0.19683902921706528,0.9649,0.6533567851838816,0.16460371578248525
2017,logistic_woe,margin_rate,0.3,0.24091817523108514,0.98921,0.6533567851838816,0.21398483051723083
2017,lightgbm,lgd_rate,-0.3,0.2913303722167538,0.99479,0.4573497496287171,0.16460371578248525
2017,lightgbm,lgd_rate,0.0,0.19159686301436232,0.95351,0.6533567851838816,0.16460371578248525
2017,lightgbm,lgd_rate,0.3,0.15994485934511005,0.90664,0.8493638207390461,0.16460371578248525
2017,lightgbm,margin_rate,-0.3,0.13806273479306322,0.85202,0.6533567851838816,0.11522260104773967
2017,lightgbm,margin_rate,0.0,0.19159686301436232,0.95351,0.6533567851838816,0.16460371578248525
2017,lightgbm,margin_rate,0.3,0.27832636259279775,0.99316,0.6533567851838816,0.21398483051723083
