feature,shap_importance,perm_importance,shap_rank,perm_rank,rank_gap,fold,model
addr_state,0.15364312656163115,-0.0022028699209086624,3.0,96.0,93.0,2014,logistic_woe
revol_bal,0.07140278978226935,-0.000775272134235408,13.0,95.0,82.0,2014,logistic_woe
revol_util,0.06983179049779142,-0.0004362169262278781,14.0,94.0,80.0,2014,logistic_woe
total_acc,0.03560676134573957,-0.00014129571021574138,18.0,92.0,74.0,2014,logistic_woe
mths_since_last_record,0.0030613366070925976,-0.00018527999668179474,20.0,93.0,73.0,2014,logistic_woe
term,0.0798491130879728,0.0034222841319781344,12.0,4.0,8.0,2014,logistic_woe
open_acc,0.08905753694467015,0.0002522542952616169,9.0,15.0,6.0,2014,logistic_woe
credit_history_months,0.05308664361593245,0.0019386029076312234,15.0,9.0,6.0,2014,logistic_woe
collections_12_mths_ex_med,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
bc_open_to_buy,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
acc_open_past_24mths,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
acc_now_delinq,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
annual_inc_joint,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
application_type,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
avg_cur_bal,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
all_util,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
mo_sin_old_rev_tl_op,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
initial_list_status,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
il_util,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
home_ownership,0.0025393317296079363,5.742047518154103e-05,21.0,16.0,5.0,2014,logistic_woe
max_bal_bc,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
inq_last_6mths,0.1180692306998618,0.004241632103167145,7.0,2.0,5.0,2014,logistic_woe
inq_last_12m,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
inq_fi,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
mo_sin_rcnt_rev_tl_op,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
mo_sin_old_il_acct,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
chargeoff_within_12_mths,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
bc_util,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
delinq_amnt,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
delinq_2yrs,0.0003166358231412415,4.181324011259813e-06,22.0,17.0,5.0,2014,logistic_woe
disbursement_method,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
dti_joint,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
total_bal_ex_mort,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
pct_tl_nvr_dlq,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
open_rv_12m,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
open_rv_24m,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
revol_bal_joint,0.0,0.0,23.0,18.0,5.0,2014,logistic_woe
pub_rec_bankruptcies,0.044083334898220604,0.001451992585193368,16.0,11.0,5.0,2014,logistic_woe
