variant,fold,pr_auc,roc_auc,ks
baseline,2014,0.12623304566181276,0.6195320533421301,0.17316437646038269
bagging_only,2014,0.12545830749375098,0.6225503172548893,0.17609798217570577
capacity_only,2014,0.12721367952135737,0.6254164860280822,0.18114216823333296
tuned_cfg0,2014,0.12759353044223654,0.6290951423609595,0.18687490071038104
capacity_only4,2014,0.12429305816352831,0.6218514064371996,0.1774211112838454
tuned_cfg4,2014,0.12717309146809863,0.6268754826761539,0.185152061266667
baseline,2015,0.17679722530324354,0.6665092935411719,0.24051256788198533
bagging_only,2015,0.1807578949940073,0.6715432048507128,0.2471990620077134
capacity_only,2015,0.18238093115896936,0.6762871041798574,0.25472841494045806
tuned_cfg0,2015,0.1873777929892848,0.6794373273692202,0.2618545957189451
capacity_only4,2015,0.18350258763427316,0.6768147372436222,0.25637124623502794
tuned_cfg4,2015,0.18736595187761734,0.6822058005239812,0.2684370765670829
baseline,2016,0.19370237917745434,0.6766995289855028,0.2563464507183537
bagging_only,2016,0.1948408919175506,0.6798366767576576,0.2604698078188893
capacity_only,2016,0.19740352867706482,0.6805740877854968,0.2616337029793514
tuned_cfg0,2016,0.19970405907876201,0.6828038737344838,0.26552048194305755
capacity_only4,2016,0.1965498865622668,0.6801954198627348,0.2597862235529699
tuned_cfg4,2016,0.1990561469558047,0.6832754427698005,0.2639177232385851
baseline,2017,0.16970247819582193,0.676440802973341,0.25963148365513666
bagging_only,2017,0.17142255823444152,0.680930855233667,0.26813890196399487
capacity_only,2017,0.1743342199798193,0.6806789454676778,0.2636975488121183
tuned_cfg0,2017,0.17408045594171326,0.682505195497571,0.2665716258632491
capacity_only4,2017,0.17347708544019239,0.681094006016597,0.26402665204216424
tuned_cfg4,2017,0.1759129890923642,0.6834967146073757,0.2685719713979858
