treatment,fold,pr_auc,roc_auc,brier,ks,mean_pred,true_rate,n_train_rows
none,2014,0.12623304566181276,0.6195320533421301,0.07903274386912873,0.17316437646038269,0.07856387609442098,0.08648,39786
class_weight,2014,0.11780674848566812,0.6048566008285523,0.1758548507945633,0.15208770676847966,0.3610781125985678,0.08648,39786
undersample,2014,0.11969532169068915,0.6116861633470484,0.27407399488470224,0.16392515590039775,0.4908980202532152,0.08648,5790
smote,2014,0.11784207568001503,0.60697565445884,0.08049664847637605,0.15445782744065734,0.10418595820140573,0.08648,73782
smote_rounded,2014,0.10563224080632051,0.5705728941142694,0.10943777269038732,0.10600637689476589,0.20530625443695757,0.08648,73782
none,2015,0.17679722530324354,0.6665092935411719,0.08782857229071431,0.24051256788198533,0.0843656748778499,0.10038,93153
class_weight,2015,0.17273504543327695,0.6574678058375174,0.1711967530919861,0.23204727041577167,0.36250030552699997,0.10038,93153
undersample,2015,0.17129490835445382,0.6606659771457201,0.249162014412382,0.23621906349699645,0.4761139713836125,0.10038,14986
smote,2015,0.17558946711615525,0.6667938362091375,0.08768192492663003,0.24298679667892276,0.09687741013148407,0.10038,171320
smote_rounded,2015,0.15173591474681047,0.6300459556457743,0.09304381116756529,0.1866281310805959,0.12687400100416077,0.10038,171320
none,2016,0.19370237917745434,0.6766995289855028,0.09262402611348884,0.2563464507183537,0.07955936688381973,0.10687,150000
class_weight,2016,0.19193142065868649,0.6745903679121147,0.18592592356193172,0.2577419705747992,0.3927470851106275,0.10687,150000
undersample,2016,0.18542954093742745,0.6711109340249024,0.22635762514159002,0.247343635888924,0.45171870052365387,0.10687,23686
smote,2016,0.19516075438233546,0.67880483039813,0.09249187456170867,0.2616624084204991,0.08013650818367571,0.10687,276314
smote_rounded,2016,0.15566792088784076,0.6263353060317212,0.10063415973745744,0.18114684667009723,0.1405122513440978,0.10687,276314
none,2017,0.16970247819582193,0.676440802973341,0.08422431678329086,0.25963148365513666,0.07698248508723435,0.09585,150000
class_weight,2017,0.17093861004290203,0.6746641209370424,0.18184673967637963,0.25247077962623576,0.3871213855060581,0.09585,150000
undersample,2017,0.16720924269790505,0.6709130006824442,0.21417055245039796,0.24472579360844976,0.43462258064974063,0.09585,24834
smote,2017,0.17190443997830854,0.6753966811183728,0.08397321543197124,0.2531230838983899,0.08148677611141403,0.09585,275166
smote_rounded,2017,0.1501190766771813,0.639965356522297,0.0881053580046341,0.19786917168677182,0.12607449879358013,0.09585,275166
