model,calibrator,fold,bin,predicted,observed,n
logistic_woe,none,2014,0,0.025318363058995055,0.0398,10000
logistic_woe,none,2014,1,0.039375528577133036,0.0611,10000
logistic_woe,none,2014,2,0.04899091427604679,0.0697,10000
logistic_woe,none,2014,3,0.05800978911703545,0.0732,10000
logistic_woe,none,2014,4,0.06738754603665345,0.0816,10000
logistic_woe,none,2014,5,0.07763369457700776,0.0915,10000
logistic_woe,none,2014,6,0.08981275393621267,0.098,10000
logistic_woe,none,2014,7,0.10554822362608275,0.1054,10000
logistic_woe,none,2014,8,0.12889295684636173,0.114,10000
logistic_woe,none,2014,9,0.18900431524986053,0.1305,10000
logistic_woe,platt,2014,0,0.03157131185238052,0.0398,10000
logistic_woe,platt,2014,1,0.046134095642505146,0.0611,10000
logistic_woe,platt,2014,2,0.055552798520752865,0.0697,10000
logistic_woe,platt,2014,3,0.06413298541323952,0.0732,10000
logistic_woe,platt,2014,4,0.07284705032116298,0.0816,10000
logistic_woe,platt,2014,5,0.08216946327934568,0.0915,10000
logistic_woe,platt,2014,6,0.09302747491894481,0.098,10000
logistic_woe,platt,2014,7,0.10676284752904446,0.1054,10000
logistic_woe,platt,2014,8,0.1266607232605425,0.114,10000
logistic_woe,platt,2014,9,0.17600414109478899,0.1305,10000
logistic_woe,isotonic,2014,0,0.024050265836003483,0.03330346475507766,6696
logistic_woe,isotonic,2014,1,0.03881518206803627,0.058700647587215375,9574
logistic_woe,isotonic,2014,2,0.05291970802919709,0.06350606394707828,9070
logistic_woe,isotonic,2014,3,0.060343290532256795,0.07209378766297797,9127
logistic_woe,isotonic,2014,4,0.07412402310628567,0.07928776748642606,12524
logistic_woe,isotonic,2014,5,0.08423281602099357,0.09143056664006384,20048
logistic_woe,isotonic,2014,6,0.10991398333502952,0.10154525386313466,7701
logistic_woe,isotonic,2014,7,0.1259663799490952,0.11284522989824804,13071
logistic_woe,isotonic,2014,8,0.1608702582451779,0.12683567150709657,12189
lightgbm,none,2014,0,0.009015362884415288,0.0386,10000
lightgbm,none,2014,1,0.017693809954428392,0.0632,10000
lightgbm,none,2014,2,0.024770147418187408,0.0726,10000
lightgbm,none,2014,3,0.032089387911492545,0.0708,10000
lightgbm,none,2014,4,0.04041792602383482,0.0806,10000
lightgbm,none,2014,5,0.050248034855469276,0.095,10000
lightgbm,none,2014,6,0.06298266232217609,0.0991,10000
lightgbm,none,2014,7,0.08090590998769238,0.1042,10000
lightgbm,none,2014,8,0.11114147804734804,0.1141,10000
lightgbm,none,2014,9,0.2129139761061464,0.1266,10000
lightgbm,platt,2014,0,0.027375768958006853,0.0386,10000
lightgbm,platt,2014,1,0.04138927782284629,0.0632,10000
lightgbm,platt,2014,2,0.050392711955902385,0.0726,10000
lightgbm,platt,2014,3,0.05859368183264557,0.0708,10000
lightgbm,platt,2014,4,0.06700711015291753,0.0806,10000
lightgbm,platt,2014,5,0.07604275864088304,0.095,10000
lightgbm,platt,2014,6,0.08671897798990895,0.0991,10000
lightgbm,platt,2014,7,0.10034477126218465,0.1042,10000
lightgbm,platt,2014,8,0.12086080533392987,0.1141,10000
lightgbm,platt,2014,9,0.1779956742315609,0.1266,10000
lightgbm,isotonic,2014,0,0.025669094913758322,0.037673130193905814,9025
lightgbm,isotonic,2014,1,0.04274639102883858,0.06019951840385277,8721
lightgbm,isotonic,2014,2,0.047321366178216015,0.07129411764705883,4250
lightgbm,isotonic,2014,3,0.048827277454212475,0.07124586686630482,16029
lightgbm,isotonic,2014,4,0.06221109081608098,0.07853131749460043,11575
lightgbm,isotonic,2014,5,0.07780275951823053,0.09468012316113582,11692
lightgbm,isotonic,2014,6,0.09361909097564568,0.10064957264957265,14625
lightgbm,isotonic,2014,7,0.12462276928184929,0.1117702895111533,12642
lightgbm,isotonic,2014,8,0.1683362345722622,0.12560090901145005,11441
logistic_woe,none,2015,0,0.023954354347733846,0.0378,10000
logistic_woe,none,2015,1,0.03856581711908741,0.0583,10000
logistic_woe,none,2015,2,0.04840168334217603,0.0719,10000
logistic_woe,none,2015,3,0.0574460155629529,0.084,10000
logistic_woe,none,2015,4,0.06672764073024928,0.0889,10000
logistic_woe,none,2015,5,0.07685958617675738,0.0973,10000
logistic_woe,none,2015,6,0.08858926943346072,0.1172,10000
logistic_woe,none,2015,7,0.10327665250114754,0.1208,10000
logistic_woe,none,2015,8,0.12454261367279328,0.1372,10000
logistic_woe,none,2015,9,0.17622736987064508,0.1904,10000
logistic_woe,platt,2015,0,0.032337610604913296,0.0378,10000
logistic_woe,platt,2015,1,0.04877741785435267,0.0583,10000
logistic_woe,platt,2015,2,0.059198257747464525,0.0719,10000
logistic_woe,platt,2015,3,0.06849204834428078,0.084,10000
logistic_woe,platt,2015,4,0.07780085766027903,0.0889,10000
logistic_woe,platt,2015,5,0.08774239191260558,0.0973,10000
logistic_woe,platt,2015,6,0.09901230275382279,0.1172,10000
logistic_woe,platt,2015,7,0.11282081838980364,0.1208,10000
logistic_woe,platt,2015,8,0.13233128702795988,0.1372,10000
logistic_woe,platt,2015,9,0.17783173658150161,0.1904,10000
logistic_woe,isotonic,2015,0,0.025465080659156623,0.03653719552337064,9114
logistic_woe,isotonic,2015,1,0.0498176492017621,0.05739868049010367,10610
logistic_woe,isotonic,2015,2,0.05485218476038273,0.06898907103825136,2928
logistic_woe,isotonic,2015,3,0.06428355328611303,0.07811681508643269,15272
logistic_woe,isotonic,2015,4,0.07479080921825752,0.08766573621772505,11464
logistic_woe,isotonic,2015,5,0.08956780422592528,0.09377437977843657,6409
logistic_woe,isotonic,2015,6,0.09853834732657975,0.11157930220798921,11866
logistic_woe,isotonic,2015,7,0.10636865272645107,0.12114914425427872,8180
logistic_woe,isotonic,2015,8,0.12874705010774062,0.13247927656367747,13270
logistic_woe,isotonic,2015,9,0.1736606223901984,0.18572609534306972,10887
lightgbm,none,2015,0,0.01325381806702948,0.0407,10000
lightgbm,none,2015,1,0.024288859082976563,0.0585,10000
lightgbm,none,2015,2,0.03344829981011238,0.0683,10000
lightgbm,none,2015,3,0.042786604830493846,0.0858,10000
lightgbm,none,2015,4,0.052879460377005215,0.0944,10000
lightgbm,none,2015,5,0.06464419100907655,0.1016,10000
lightgbm,none,2015,6,0.07934547301460618,0.1096,10000
lightgbm,none,2015,7,0.0990391526102688,0.1246,10000
lightgbm,none,2015,8,0.13018627193560112,0.1468,10000
lightgbm,none,2015,9,0.21945217630122774,0.1735,10000
lightgbm,platt,2015,0,0.03174833259338172,0.0407,10000
lightgbm,platt,2015,1,0.046625382330543905,0.0585,10000
lightgbm,platt,2015,2,0.056761047224694404,0.0683,10000
lightgbm,platt,2015,3,0.06600425060544456,0.0858,10000
lightgbm,platt,2015,4,0.07514730228692038,0.0944,10000
lightgbm,platt,2015,5,0.08499241538586119,0.1016,10000
lightgbm,platt,2015,6,0.0963924910156014,0.1096,10000
lightgbm,platt,2015,7,0.11051367544486503,0.1246,10000
lightgbm,platt,2015,8,0.13097530851549166,0.1468,10000
lightgbm,platt,2015,9,0.18225866921871467,0.1735,10000
lightgbm,isotonic,2015,0,0.020049933388745292,0.03906899418121363,8421
lightgbm,isotonic,2015,1,0.04637200356040895,0.05385164051355207,8412
lightgbm,isotonic,2015,2,0.052822887445117095,0.06712917725229627,10234
lightgbm,isotonic,2015,3,0.06028075970272502,0.08131227674374883,10638
lightgbm,isotonic,2015,4,0.07575144334606632,0.09279321714554875,8492
lightgbm,isotonic,2015,5,0.0822656334756183,0.09459072696050372,6988
lightgbm,isotonic,2015,6,0.09481645698077373,0.10751782242384965,15430
lightgbm,isotonic,2015,7,0.11154272182342453,0.12071141709695926,8715
lightgbm,isotonic,2015,8,0.13122453307153217,0.14161996943453897,11778
lightgbm,isotonic,2015,9,0.17023225163336406,0.17223650385604114,10892
logistic_woe,none,2016,0,0.020567330546114728,0.0296,10000
logistic_woe,none,2016,1,0.03495553912526034,0.0558,10000
logistic_woe,none,2016,2,0.045965191411916684,0.0625,10000
logistic_woe,none,2016,3,0.05669143048216538,0.0822,10000
logistic_woe,none,2016,4,0.06808153526315287,0.0933,10000
logistic_woe,none,2016,5,0.08082528199638409,0.1069,10000
logistic_woe,none,2016,6,0.09588433304576406,0.1221,10000
logistic_woe,none,2016,7,0.115010087418177,0.1393,10000
logistic_woe,none,2016,8,0.14297052605944569,0.1639,10000
logistic_woe,none,2016,9,0.2118544856370327,0.2131,10000
logistic_woe,platt,2016,0,0.02228187498022374,0.0296,10000
logistic_woe,platt,2016,1,0.035409194521592816,0.0558,10000
logistic_woe,platt,2016,2,0.04489841108683794,0.0625,10000
logistic_woe,platt,2016,3,0.05386273401562835,0.0822,10000
logistic_woe,platt,2016,4,0.06315789138264973,0.0933,10000
logistic_woe,platt,2016,5,0.07334687459922497,0.1069,10000
logistic_woe,platt,2016,6,0.08516547339005132,0.1221,10000
logistic_woe,platt,2016,7,0.0999148591492061,0.1393,10000
logistic_woe,platt,2016,8,0.12110565544291463,0.1639,10000
logistic_woe,platt,2016,9,0.17242938897382545,0.2131,10000
logistic_woe,isotonic,2016,0,0.011761315165143924,0.02286122521878907,5599
logistic_woe,isotonic,2016,1,0.02949923442070725,0.04892877822814128,13816
logistic_woe,isotonic,2016,2,0.04202891260301846,0.06256033983394478,10358
logistic_woe,isotonic,2016,3,0.05017664119903218,0.08374714803382097,7451
logistic_woe,isotonic,2016,4,0.06524948740394182,0.08994167604624988,9773
logistic_woe,isotonic,2016,5,0.07373480863413745,0.09856992033784433,10419
logistic_woe,isotonic,2016,6,0.0852864764623845,0.12266928361138371,10190
logistic_woe,isotonic,2016,7,0.09881869864319258,0.13286447443451815,10522
logistic_woe,isotonic,2016,8,0.12066180831561685,0.16066812487572082,10058
logistic_woe,isotonic,2016,9,0.16079514756240298,0.20661926527848315,11814
lightgbm,none,2016,0,0.01597560804599629,0.0317,10000
lightgbm,none,2016,1,0.027888849223855344,0.0486,10000
lightgbm,none,2016,2,0.0374799191119842,0.0671,10000
lightgbm,none,2016,3,0.04718059300290923,0.0828,10000
lightgbm,none,2016,4,0.057666081642499395,0.093,10000
lightgbm,none,2016,5,0.06989439017315716,0.1033,10000
lightgbm,none,2016,6,0.08476712552923892,0.1223,10000
lightgbm,none,2016,7,0.10450775439957065,0.1391,10000
lightgbm,none,2016,8,0.1355633744109219,0.164,10000
lightgbm,none,2016,9,0.2228212999634506,0.2168,10000
lightgbm,platt,2016,0,0.022352202495882007,0.0317,10000
lightgbm,platt,2016,1,0.03528756687574769,0.0486,10000
